Region,Maker,Model,Model year,Supplier
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra Verito Vibe (India),2019,"Youngshin Automotive India PVT., Ltd."
Japan,Nissan,Infiniti Q70,2019,"Hitachi Astemo, Ltd. (Formerly Hitachi Automotive Systems, Ltd.)"
Japan,Nissan,Teana,2019,JTEKT Corporation
ASEAN?India?Korea,Ford,Ranger (Thailand),2018,"KYB Steering (Thailand) Co., Ltd."
Americas,GM,Chevrolet Express (USA),2018,Nexteer Automotive Group Ltd.
Americas,GM,Chevrolet Express (USA),2018,Nexteer Automotive Group Ltd.
Americas,GM,GMC Savana (USA),2018,Nexteer Automotive Group Ltd.
Americas,GM,GMC Savana (USA),2018,Nexteer Automotive Group Ltd.
Americas,GM,GMC Sierra HD (USA),2018,Nexteer Automotive Group Ltd.
Americas,GM,Chevrolet Silverado HD (USA),2018,Nexteer Automotive Group Ltd.
Americas,GM,Cadillac XTS (Canada),2018,Nexteer Automotive Group Ltd.
Americas,GM,Cadillac XTS (Canada),2018,Nexteer Automotive Group Ltd.
ASEAN?India?Korea,Isuzu,D-Max (Thailand),2018,"KYB Steering (Thailand) Co., Ltd."
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra Bolero Power + (India),2018,JTEKT India Limited - Bawai Plant (Formerly JTEKT Sona Automotive India Ltd.)
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra KUV100 NXT (India),2018,JTEKT India Limited - Bawai Plant (Formerly JTEKT Sona Automotive India Ltd.)
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra NuvoSport (India),2018,JTEKT India Limited - Bawai Plant (Formerly JTEKT Sona Automotive India Ltd.)
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra Scorpio (India),2018,JTEKT India Limited - Bawai Plant (Formerly JTEKT Sona Automotive India Ltd.)
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra Thar (India),2018,JTEKT India Limited - Bawai Plant (Formerly JTEKT Sona Automotive India Ltd.)
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra TUV300 (India),2018,JTEKT India Limited - Bawai Plant (Formerly JTEKT Sona Automotive India Ltd.)
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra XUV500 (India),2018,JTEKT India Limited - Bawai Plant (Formerly JTEKT Sona Automotive India Ltd.)
ASEAN?India?Korea,Mazda,BT-50 (Thailand),2018,"KYB Steering (Thailand) Co., Ltd."
ASEAN?India?Korea,Mitsubishi,Pajero Sport (Thailand),2018,"KYB Steering (Thailand) Co., Ltd."
