?Region,?Maker,?Model,?Model year,?Supplier
China,Geely,Boyue L (Starray) (Atlas) (FF) (China),2024,"Ningbo Geely Royal Engine Parts Co., Ltd."
China,Geely,Boyue L (Starray) (Atlas) (FF) (China),2024,"Ningbo Geely Royal Engine Parts Co., Ltd."
China,Geely,Haoyue L (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Geely,Haoyue L (FF) (China),2024,"Ningbo Geely Royal Engine Parts Co., Ltd."
China,Geely,Haoyue PRO (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Geely,Haoyue PRO (FF) (China),2024,"Ningbo Geely Royal Engine Parts Co., Ltd."
China,Geely,JiaJi L (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Geely,JiaJi L (FF) (China),2024,"Ningbo Geely Royal Engine Parts Co., Ltd."
China,Great Wall,Tank 500 48V Mild Hybrid (4WD) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Tank 500 Hi4-T (4WD) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval Cool Dog (4WD) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval Cool Dog (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval Dargo (4WD) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval Dargo (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval Dargo 2nd-Generation (4WD) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval Dargo 2nd-Generation (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval Dargo 2nd-Generation (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval Dargo 2nd-Generation PHEV (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval Fierce Dragon (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval Fierce Dragon MAX (4WD) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval H6 (4WD) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval H6 (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval H6 (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval H6 (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval H6 PHEV (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval H6S (4WD) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval H6S (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval H6S (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,King Kong POER Diesel (4WD) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,King Kong POER Diesel (FR) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,King Kong POER Gasoline (4WD) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,King Kong POER Gasoline (FR) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval M6 PLUS (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval M6 PLUS (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval Menglong (4WD) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,POER Diesel (4WD) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,POER Diesel (FR) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,POER Gasoline (4WD) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,POER Gasoline (FR) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval Red Rabbit (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval Red Rabbit DHT (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Shanhai POER Diesel (4WD) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Shanhai POER Gasoline 48V Mild Hybrid (4WD) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval Shenshou (4WD) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval Shenshou (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval Shenshou (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval Shenshou (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
Europe,Mercedes-Benz,G-Class (Austria),2024,Nemak Europe GmbH
ASEAN?India?Korea,Mitsubishi,Attrage (Thailand),2024,"Ryobi Die Casting (Thailand) Co., Ltd"
ASEAN?India?Korea,Mitsubishi,Mirage (Thailand),2024,"Ryobi Die Casting (Thailand) Co., Ltd"
China,Nanjing Iveco,Iveco Daily (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Nanjing Iveco,Iveco Daily (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,SAIC Maxus,Maxus V80 (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,SAIC Passenger Vehicle,Roewe i5 (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,SAIC Passenger Vehicle,Roewe i5 (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,SAIC Passenger Vehicle,Roewe i5 (FF) (China),2024,"Nantong Yifeng Mechanical Components Manufacturing Co., Ltd."
China,SAIC Passenger Vehicle,MG MG5 (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,SAIC Passenger Vehicle,MG MG5 (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,SAIC Passenger Vehicle,MG MG5 (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,SAIC Passenger Vehicle,MG MG5 (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,SAIC Passenger Vehicle,MG MG5 (FF) (China),2024,"Nantong Yifeng Mechanical Components Manufacturing Co., Ltd."
China,SAIC Passenger Vehicle,MG MG5 (FF) (China),2024,"Nantong Yifeng Mechanical Components Manufacturing Co., Ltd."
China,SAIC Passenger Vehicle,MG MG5 Scorpio (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,SAIC Passenger Vehicle,MG MG5 Scorpio (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,SAIC Passenger Vehicle,MG MG5 Scorpio (FF) (China),2024,"Nantong Yifeng Mechanical Components Manufacturing Co., Ltd."
China,SAIC Passenger Vehicle,MG MG6 (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,SAIC Passenger Vehicle,MG MG6 (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,SAIC Passenger Vehicle,MG MG6 (FF) (China),2024,"Nantong Yifeng Mechanical Components Manufacturing Co., Ltd."
China,SAIC Passenger Vehicle,MG MG6 PHEV (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,SAIC Passenger Vehicle,MG MG6 PHEV (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,SAIC Passenger Vehicle,MG MG6 PHEV (FF) (China),2024,"Nantong Yifeng Mechanical Components Manufacturing Co., Ltd."
China,SAIC Passenger Vehicle,MG MG6 Pro (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,SAIC Passenger Vehicle,MG MG6 Pro (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,SAIC Passenger Vehicle,MG MG6 Pro (China),2024,"Nantong Yifeng Mechanical Components Manufacturing Co., Ltd."
China,SERES,AITO Wenjie M9 (4WD) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Zhengzhou Nissan,Dongfeng Rich (4WD) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Zhengzhou Nissan,Dongfeng Rich (4WD) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Zhengzhou Nissan,Dongfeng Rich (FR) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Zhengzhou Nissan,Dongfeng Rich (FR) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Zhengzhou Nissan,Dongfeng Rich 6 (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Zhengzhou Nissan,Dongfeng Rich 6 (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Zhengzhou Nissan,Dongfeng Rich 7 (FR) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Zhengzhou Nissan,Dongfeng Rich 7 (FR) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,BYD,Qin Plus DM-i (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,BYD,Qin Plus DM-i (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,BYD,Seal U (Song Plus) DM-i (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,BYD,Seal U (Song Plus) DM-i (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,BYD,Song MAX DM-i (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,BYD,Song MAX DM-i (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,BYD,Song Pro DM-i (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,BYD,Song Pro DM-i (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS15 (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS15 (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS35 PLUS (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS35 PLUS (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS55 PLUS (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS55 PLUS (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS75 (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS75 (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS75 PLUS (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS75 PLUS (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS75 PLUS (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS75 PLUS (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS75 PLUS iDD (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS75 PLUS iDD (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS85 COUPE (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS85 COUPE (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS85 COUPE (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS85 COUPE (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS95 PLUS (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
