Region,Maker,Model,Model year,Supplier
ASEAN?India?Korea,Citroen,C3 Aircross (India),2023,Pricol Ltd.
ASEAN?India?Korea,Citroen,C5 Aircross (India),2023,Pricol Ltd.
China,DENZA New Energy,Denza D9 DM-i (4WD) (China),2023,"Hunan Meihu Intelligent Manufacturing Co., Ltd. (Formerly Hunan Oil Pump Co., Ltd.)"
China,DENZA New Energy,Denza D9 DM-i (FF) (China),2023,"Hunan Meihu Intelligent Manufacturing Co., Ltd. (Formerly Hunan Oil Pump Co., Ltd.)"
China,DENZA New Energy,Denza D9 EV (4WD) (China),2023,"Hunan Meihu Intelligent Manufacturing Co., Ltd. (Formerly Hunan Oil Pump Co., Ltd.)"
China,DENZA New Energy,Denza D9 EV (FF) (China),2023,"Hunan Meihu Intelligent Manufacturing Co., Ltd. (Formerly Hunan Oil Pump Co., Ltd.)"
China,DENZA New Energy,Denza N7 (4WD) (China),2023,"Hunan Meihu Intelligent Manufacturing Co., Ltd. (Formerly Hunan Oil Pump Co., Ltd.)"
China,DENZA New Energy,Denza N7 (RR) (China),2023,"Hunan Meihu Intelligent Manufacturing Co., Ltd. (Formerly Hunan Oil Pump Co., Ltd.)"
China,Dongfeng Peugeot Citroen,Citroen C5 X (FF) (China),2023,"MAHLE Engine Components (Chongqing) Co., Ltd."
ASEAN?India?Korea,Honda,Accord (Thailand),2023,"Yamada Somboon Co., Ltd."
ASEAN?India?Korea,Honda,BR-V (Thailand),2023,"Yamada Somboon Co., Ltd."
ASEAN?India?Korea,Honda,City (Thailand),2023,"Yamada Somboon Co., Ltd."
ASEAN?India?Korea,Honda,Civic (Thailand),2023,"Yamada Somboon Co., Ltd."
ASEAN?India?Korea,Honda,CR-V (Thailand),2023,"Yamada Somboon Co., Ltd."
ASEAN?India?Korea,Honda,HR-V (Thailand),2023,"Yamada Somboon Co., Ltd."
Japan,Honda,N-BOX,2023,Denso Corporation
Japan,Honda,N-BOX,2023,"Hiroshima Aluminum Industry Co., Ltd."
Japan,Honda,N-BOX Custom,2023,Denso Corporation
Japan,Honda,N-BOX Custom,2023,"Hiroshima Aluminum Industry Co., Ltd."
Japan,Honda,Vezel,2023,"Yamada Manufacturing Co., Ltd."
Americas,Hyundai,Elantra (USA),2023,"Myunghwa Ind. Co., Ltd."
ASEAN?India?Korea,Hyundai,Genesis G80 (Korea),2023,"Lee Won Precision Co.,Ltd."
ASEAN?India?Korea,Hyundai,Genesis GV70 (Korea),2023,"Lee Won Precision Co.,Ltd."
ASEAN?India?Korea,Hyundai,Genesis GV80 (Korea),2023,"Lee Won Precision Co.,Ltd."
ASEAN?India?Korea,Hyundai,Kona (Korea),2023,"Myunghwa Ind. Co., Ltd."
ASEAN?India?Korea,Hyundai,Mighty (Korea),2023,"Lee Won Precision Co.,Ltd."
ASEAN?India?Korea,Hyundai,Palisade (Korea),2023,"Myunghwa Ind. Co., Ltd."
ASEAN?India?Korea,Hyundai,Porter (Korea),2023,"Lee Won Precision Co.,Ltd."
ASEAN?India?Korea,Hyundai,Sonata (Korea),2023,"Lee Won Precision Co.,Ltd."
ASEAN?India?Korea,Hyundai,Sonata (Korea),2023,"Myunghwa Ind. Co., Ltd."
ASEAN?India?Korea,Hyundai,Sonata (Korea),2023,"Myunghwa Ind. Co., Ltd."
Americas,Hyundai,Sonata (USA),2023,"Myunghwa Ind. Co., Ltd."
ASEAN?India?Korea,Hyundai,Sorento (Korea),2023,"Lee Won Precision Co.,Ltd."
ASEAN?India?Korea,Hyundai,Staria (Korea),2023,"Lee Won Precision Co.,Ltd."
ASEAN?India?Korea,Hyundai,Tucson (Korea),2023,"Lee Won Precision Co.,Ltd."
Americas,Hyundai,Tucson (USA),2023,"Myunghwa Ind. Co., Ltd."
ASEAN?India?Korea,Kia,Seltos (Korea),2023,"Myunghwa Ind. Co., Ltd."
ASEAN?India?Korea,Kia,Soul (Korea),2023,"Myunghwa Ind. Co., Ltd."
ASEAN?India?Korea,Kia,Sportage (Korea),2023,"Myunghwa Ind. Co., Ltd."
ASEAN?India?Korea,Kia,Stinger (Korea),2023,"Lee Won Precision Co.,Ltd."
