Region,Maker,Model,Model year,Supplier
China,Geely,Zeekr 001 (4WD) (China),2024,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
China,Geely,Zeekr 001 (4WD) (China),2024,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
China,Geely,Zeekr 001 (RR) (China),2024,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
China,Geely,Zeekr 001 (RR) (China),2024,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
China,Geely,Zeekr 001 (RR) (China),2024,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
China,Geely,LYNK & CO 01 (4WD) (China),2024,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
China,Geely,LYNK & CO 01 (FF) (China),2024,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
China,Geely,LYNK & CO 01 EM-F (FF) (China),2024,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
China,Geely,LYNK & CO 01 EM-P (FF) (China),2024,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
China,Geely,LYNK & CO 03 (FF) (China),2024,"Zhangjiakou Mingxiang Auto Parts Co., Ltd."
China,Geely,LYNK & CO 03 (FF) (China),2024,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
China,Geely,LYNK & CO 03 (FF) (China),2024,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
China,Geely,LYNK & CO 03 EM-F (FF) (China),2024,"Zhangjiakou Mingxiang Auto Parts Co., Ltd."
