Region,Maker,Model,Model year,Supplier
ASEAN?India?Korea,Toyota,Etios Valco (Indonesia),2013,PT. AT Indonesia
ASEAN?India?Korea,Toyota,Fortuner (Indonesia),2013,PT. AT Indonesia
ASEAN?India?Korea,Toyota,Fortuner (Thailand),2013,"Thai Engineering Products Co., Ltd. (TEP)"
ASEAN?India?Korea,Toyota,Hilux Vigo (Thailand),2013,"Thai Engineering Products Co., Ltd. (TEP)"
ASEAN?India?Korea,Toyota,Kijang Innova (Indonesia),2013,PT. AT Indonesia
ASEAN?India?Korea,Toyota,Prius (Thailand),2013,"Thai Engineering Products Co., Ltd. (TEP)"
ASEAN?India?Korea,Toyota,Rush (Indonesia),2013,PT. AT Indonesia
ASEAN?India?Korea,Toyota,Vios (Thailand),2013,"Thai Engineering Products Co., Ltd. (TEP)"
ASEAN?India?Korea,Toyota,Yaris (Thailand),2013,"Thai Engineering Products Co., Ltd. (TEP)"
Europe,Volkswagen,Passat (Germany),2013,Brembo S.p.A.
Americas,Dodge,Caliber (USA),2012,Brembo S.p.A.
China,FAW-Volkswagen,Volkswagen Jetta (FF) (China),2012,"Beijing Asia-Pacific Automobile Chassis System Co., Ltd."
Americas,Volkswagen,Passat (USA),2012,Brembo S.p.A.
Japan,Daihatsu,Atrai Wagon,2011,"Daihatsu Metal Co., Ltd."
Japan,Daihatsu,Be-go,2011,"Daihatsu Metal Co., Ltd."
Japan,Daihatsu,Boon,2011,"Daihatsu Metal Co., Ltd."
Japan,Daihatsu,Boon Luminas,2011,"Daihatsu Metal Co., Ltd."
Japan,Daihatsu,Coo,2011,"Daihatsu Metal Co., Ltd."
Japan,Daihatsu,Copen,2011,"Daihatsu Metal Co., Ltd."
Japan,Daihatsu,Hijet Cargo,2011,"Daihatsu Metal Co., Ltd."
Japan,Daihatsu,Hijet Truck,2011,"Daihatsu Metal Co., Ltd."
Japan,Daihatsu,Mira,2011,"Daihatsu Metal Co., Ltd."
Japan,Daihatsu,Mira Cocoa,2011,"Daihatsu Metal Co., Ltd."
Japan,Daihatsu,Mira e:S,2011,"Daihatsu Metal Co., Ltd."
Japan,Daihatsu,Mira Van,2011,"Daihatsu Metal Co., Ltd."
Japan,Daihatsu,Move,2011,"Daihatsu Metal Co., Ltd."
Japan,Daihatsu,Move Conte,2011,"Daihatsu Metal Co., Ltd."
Japan,Daihatsu,Tanto,2011,"Daihatsu Metal Co., Ltd."
Japan,Daihatsu,Tanto Exe,2011,"Daihatsu Metal Co., Ltd."
Japan,Daihatsu,Terios Kid,2011,"Daihatsu Metal Co., Ltd."
Japan,Honda,Acty Truck,2011,"Asama Giken Co., Ltd."
Japan,Honda,Acty Van,2011,"Asama Giken Co., Ltd."
Japan,Honda,Freed,2011,"Asama Giken Co., Ltd."
Japan,Honda,Freed Hybrid,2011,"Asama Giken Co., Ltd."
Japan,Honda,Freed Spike,2011,"Asama Giken Co., Ltd."
Japan,Honda,Freed Spike Hybrid,2011,"Asama Giken Co., Ltd."
Japan,Honda,Insight,2011,"Asama Giken Co., Ltd."
Japan,Honda,Life,2011,Kiriu Corporation
Japan,Honda,Stream,2011,"Asama Giken Co., Ltd."
Japan,Honda,Vamos,2011,"Asama Giken Co., Ltd."
Japan,Honda,Vamos Hobio,2011,"Asama Giken Co., Ltd."
Japan,Honda,Zest,2011,Kiriu Corporation
Japan,Honda,Zest Spark,2011,Kiriu Corporation
ASEAN?India?Korea,Isuzu,D-Max (Thailand),2011,"Siam AT Industry Co., Ltd. (SATI)"
Japan,Mazda,AZ-Offroad,2011,Suzuki
Japan,Mazda,AZ-Wagon,2011,Suzuki
Japan,Mazda,Bongo Truck,2011,"Yoshiwa Kogyo Co., Ltd."
Japan,Mazda,Bongo Van,2011,"Yoshiwa Kogyo Co., Ltd."
ASEAN?India?Korea,Mazda,BT-50 (Thailand),2011,"Siam AT Industry Co., Ltd. (SATI)"
Japan,Mazda,Carol,2011,Suzuki
Japan,Mazda,Demio,2011,"Yoshiwa Kogyo Co., Ltd."
Japan,Mazda,Familia Van,2011,Kiriu Corporation
Japan,Mazda,Scrum Truck,2011,Suzuki
Japan,Mazda,Scrum Van,2011,Suzuki
Japan,Mazda,Scrum Wagon,2011,Suzuki
Japan,Mazda,Verisa,2011,"Yoshiwa Kogyo Co., Ltd."
Japan,Mitsubishi,Delica D:2,2011,In-house Production at Suzuki
Japan,Mitsubishi,Delica D:3,2011,Kiriu Corporation
Japan,Mitsubishi,Delica Van,2011,Kiriu Corporation
Japan,Mitsubishi,Lancer Cargo,2011,Kiriu Corporation
Japan,Nissan,AD,2011,Kiriu Corporation
Japan,Nissan,AD Expert,2011,Kiriu Corporation
Japan,Nissan,Atlas F24,2011,Kiriu Corporation
Japan,Nissan,Bluebird Sylphy,2011,Kiriu Corporation
Japan,Nissan,Caravan,2011,Kiriu Corporation
Japan,Nissan,Cedric,2011,Kiriu Corporation
Japan,Nissan,Civilian,2011,Kiriu Corporation
Japan,Nissan,Cube,2011,Kiriu Corporation
ASEAN?India?Korea,Nissan,Frontier (Thailand),2011,"Kiriu (Thailand) Co., Ltd."
Japan,Nissan,Juke,2011,Kiriu Corporation
Japan,Nissan,Lafesta Joy,2011,Kiriu Corporation
Japan,Nissan,Moco,2011,Suzuki
Japan,Nissan,Note,2011,Kiriu Corporation
Japan,Nissan,NV200 Vanette,2011,Kiriu Corporation
Japan,Nissan,Roox,2011,Suzuki
Japan,Nissan,Tiida,2011,Kiriu Corporation
Japan,Nissan,Tiida Latio,2011,Kiriu Corporation
Japan,Nissan,Vanette Truck,2011,"Yoshiwa Kogyo Co., Ltd."
Japan,Nissan,Vanette Van,2011,"Yoshiwa Kogyo Co., Ltd."
Japan,Nissan,Wingroad,2011,Kiriu Corporation
Japan,Subaru,Dex,2011,"Daihatsu Metal Co., Ltd."
Japan,Subaru,Dias Wagon,2011,"Daihatsu Metal Co., Ltd."
Japan,Subaru,Impreza (1.5L (excluding S grade)),2011,Kiriu Corporation
Japan,Subaru,Lucra,2011,"Daihatsu Metal Co., Ltd."
Japan,Subaru,Pleo,2011,"Daihatsu Metal Co., Ltd."
Japan,Subaru,Pleo Van,2011,"Daihatsu Metal Co., Ltd."
Japan,Subaru,Sambar Truck,2011,Kiriu Corporation
Japan,Subaru,Sambar Van,2011,Kiriu Corporation
Japan,Subaru,Stella,2011,"Daihatsu Metal Co., Ltd."
Japan,Subaru,Trezia,2011,"Aisin Takaoka Co., Ltd."
Japan,Suzuki,Alto,2011,Suzuki
Japan,Suzuki,Carry,2011,Suzuki
Japan,Suzuki,Every,2011,Suzuki
Japan,Suzuki,Every Wagon,2011,Suzuki
Japan,Suzuki,Jimny,2011,Suzuki
Japan,Suzuki,Jimny Sierra,2011,Suzuki
Japan,Suzuki,Lapin,2011,Suzuki
Japan,Suzuki,MR Wagon,2011,Suzuki
Japan,Suzuki,Palette,2011,Suzuki
Japan,Suzuki,Solio,2011,Suzuki
Japan,Suzuki,Swift (2WD (excluding XS grade)),2011,Suzuki
Japan,Suzuki,SX4,2011,"Aisin Takaoka Co., Ltd."
Japan,Suzuki,Wagon R,2011,Suzuki
Japan,Toyota,Allion,2011,"Aisin Takaoka Co., Ltd."
ASEAN?India?Korea,Toyota,Avanza (Indonesia),2011,PT. AT Indonesia
Japan,Toyota,bB,2011,"Daihatsu Metal Co., Ltd."
Japan,Toyota,Belta,2011,"Aisin Takaoka Co., Ltd."
ASEAN?India?Korea,Toyota,Camry (Thailand),2011,"Thai Engineering Products Co., Ltd. (TEP)"
ASEAN?India?Korea,Toyota,Camry Hybrid (Thailand),2011,"Thai Engineering Products Co., Ltd. (TEP)"
Japan,Toyota,Coaster,2011,"Aisin Takaoka Co., Ltd."
ASEAN?India?Korea,Toyota,Corolla Altis (Thailand),2011,"Thai Engineering Products Co., Ltd. (TEP)"
Japan,Toyota,Crown,2011,"Aisin Takaoka Co., Ltd."
Japan,Toyota,Dyna,2011,"Aisin Takaoka Co., Ltd."
Japan,Toyota,Dyna (Single rear tires),2011,"Aisin Takaoka Co., Ltd."
ASEAN?India?Korea,Toyota,Fortuner (Indonesia),2011,PT. AT Indonesia
ASEAN?India?Korea,Toyota,Fortuner (Thailand),2011,"Thai Engineering Products Co., Ltd. (TEP)"
Japan,Toyota,Hiace,2011,"Aisin Takaoka Co., Ltd."
ASEAN?India?Korea,Toyota,Hilux Vigo (Thailand),2011,"Thai Engineering Products Co., Ltd. (TEP)"
Japan,Toyota,iQ,2011,"Aisin Takaoka Co., Ltd."
Japan,Toyota,Isis,2011,"Aisin Takaoka Co., Ltd."
Japan,Toyota,ist (2WD),2011,"Aisin Takaoka Co., Ltd."
ASEAN?India?Korea,Toyota,Kijang Innova (Indonesia),2011,PT. AT Indonesia
Japan,Toyota,Noah (5-number License plate 2WD),2011,"Aisin Takaoka Co., Ltd."
Japan,Toyota,Passo,2011,"Daihatsu Metal Co., Ltd."
Japan,Toyota,Passo Sette,2011,"Daihatsu Metal Co., Ltd."
Japan,Toyota,Pixis Space,2011,"Daihatsu Metal Co., Ltd."
Japan,Toyota,Porte,2011,"Aisin Takaoka Co., Ltd."
Japan,Toyota,Premio,2011,"Aisin Takaoka Co., Ltd."
Japan,Toyota,Probox Van,2011,"Aisin Takaoka Co., Ltd."
Japan,Toyota,Probox Wagon,2011,"Aisin Takaoka Co., Ltd."
Japan,Toyota,Quick Delivery 200,2011,"Aisin Takaoka Co., Ltd."
Japan,Toyota,Ractis,2011,"Aisin Takaoka Co., Ltd."
Japan,Toyota,Regius Ace,2011,"Aisin Takaoka Co., Ltd."
Japan,Toyota,Rush,2011,"Daihatsu Metal Co., Ltd."
Japan,Toyota,Sienta,2011,"Aisin Takaoka Co., Ltd."
Japan,Toyota,Succeed Van,2011,"Aisin Takaoka Co., Ltd."
Japan,Toyota,Succeed Wagon,2011,"Aisin Takaoka Co., Ltd."
Japan,Toyota,Toyoace,2011,"Aisin Takaoka Co., Ltd."
Japan,Toyota,Toyoace (Single rear tires),2011,"Aisin Takaoka Co., Ltd."
ASEAN?India?Korea,Toyota,Vios (Thailand),2011,"Thai Engineering Products Co., Ltd. (TEP)"
Japan,Toyota,Vitz (1.0L/1.3L/1.5L (U grade)),2011,"Aisin Takaoka Co., Ltd."
Japan,Toyota,Voxy,2011,"Aisin Takaoka Co., Ltd."
ASEAN?India?Korea,Toyota,Yaris (Thailand),2011,"Thai Engineering Products Co., Ltd. (TEP)"
