supplier_id,supplier_name,parent_company
110,BASF Corporation - Catalysts Division,BASF Catalysts
111,BASF S.A.,BASF Catalysts
112,BBP Kunststoffwerk Marbach Baier GmbH & Co. KG,
113,BMTS Technology GmbH & Co. KG (Formerly Bosch MAHLE Turbo Systems GmbH & Co. KG),
114,BMW,
115,BMW Brilliance,
116,BOGE Elastmetall GmbH,
117,"BRUSS Sealing Systems (Shanghai) Co., Ltd.",
118,"BWI (Shanghai) Co., Ltd.",Beijing West Industries
119,"BWI North America, Inc.",Beijing West Industries
120,BYD,BYD
121,BYD Auto Industry,BYD
122,BYD Company Limited,BYD
123,Badve Autocomps Pvt. Ltd.,
124,"Bangkok Eagle Wings Co., Ltd.",
125,Baoding Great Machinery Co. Ltd.,
126,"Baoding Yima Auto Parts Manufacturing Co., Ltd.",
127,Baosteel Tailored Blanks GmbH,
128,"Bebest (Jiangsu) Automobile Technology Co., Ltd.",
129,Behr-Hella Thermo Control Shanghai Private Ltd.,
130,"Beijing Asia-Pacific Automobile Chassis System Co., Ltd.",
131,"Beijing Automotive (Huanghua) Parts Co., Ltd.",BAIC
132,Beijing Benz,Benz
133,"Beijing Benz Automotive Co., Ltd. Engine Factory",Benz
134,"Beijing Daeseung Precision Auto Parts Co., Ltd.",
135,"Beijing Delphi Technology Development Co., Ltd.",Delphi
136,"Beijing Delphi Wanyuan Engine Management Systems Co., Ltd.",Delphi
137,"Beijing Hainachuan Automotive Parts Co., Ltd.",BAIC
138,Beijing Hyundai,Beijing
139,"Beijing Hyundai Mobis Automotive Parts Co., Ltd.",Hyundai
140,"Beijing Hyundai Transys Transmission Co., Ltd. (Formerly Beijing Dymos Transmission Co., Ltd.)",Hyundai
141,"Beijing Landi Renzo Autogas Systems Co., Ltd.",Landi Renzo
142,"Beijing Meili Daewon Spring Co., Ltd. (Formerly Beijing Daewon Asia Automobile Science & Technology Co., Ltd.)",
143,"Beijing NGV Technology Co., Ltd.",
144,"Beijing Sejong Auto Parts Co., Ltd.",Sejong
145,"Beijing Trinova Auto Tech Co., Ltd.",Trinova
146,"Beijing West Industries Co., Ltd.",Beijing West Industries
147,"Beiqi Beinei Engine Parts Co., Ltd.(BEPC)",BEPC
148,Beiqi Foton,Foton
149,Bendix Commercial Vehicle Systems LLC,
150,"Benteler Automotive (Shanghai) Co., Ltd.",Benteler
151,Benteler Automotive Corp.,Benteler
152,Benteler Automotive K.K.,Benteler
153,Benteler Group (Benteler Automobiltechnik GmbH),Benteler
154,"Bethel Automotive Safety Systems Co., Ltd.",
155,Beycelik Gestamp A.S.,
156,"Blove Light Precision HK Co.,Ltd.",
157,BluE Nexus Corporation,
158,"Bohai Automotive Systems Co., Ltd.",
159,"BorgWarner Automotive Components (Beijing) Co., Ltd.",BorgWarner
160,BorgWarner Brasil Ltda.,BorgWarner
161,BorgWarner Inc.,BorgWarner
162,BorgWarner Inc. - Auburn Hills (Formerly Delphi Technologies PLC),BorgWarner
163,BorgWarner Ludwigsburg GmbH (Formerly BERU AG),BorgWarner
164,BorgWarner PDS (Changnyeong) Inc.,BorgWarner
165,"BorgWarner PowerDrive systems (Suzhou) Co., Ltd. (Formerly Delphi Technologies (Suzhou) Co., Ltd.)",BorgWarner
166,"BorgWarner United Transmission Systems Co., Ltd.",BorgWarner
167,"Borgwarner Torqtransfer Systems (Beijing) Co., Ltd.",BorgWarner
168,Bosal International N.V.,
169,Bosch (Bosch Corporation),Bosch
170,Bosch (China) Investment Ltd.,Bosch
171,Bosch (Robert Bosch GmbH),Bosch
172,Bosch (Robert Bosch LLC),Bosch
173,"Bosch Automotive Components (Changchun) Co., Ltd.",Bosch
174,"Bosch Automotive Products (Changsha) Co., Ltd.",Bosch
175,"Bosch Automotive Products (Chengdu) Co., Ltd.",Bosch
176,"Bosch Automotive Products (Suzhou) Co., Ltd.",Bosch
177,Bosch Chassis Systems India Ltd.,Bosch
178,"Bosch HUAYU Steering Systems (Yantai) Co., Ltd.",Bosch
179,"Bosch HUAYU Steering Systems Co., Ltd.",Bosch
180,Bosch Ltd.,Bosch
181,"Bosch Powertrain Systems Co., Ltd. (Formerly Bosch Automotive Diesel Systems Co., Ltd.)",Bosch
182,Bosch Rexroth Kft.,Bosch
183,Bosch Rexroth S.R.L.,Bosch
184,"Bourns, Inc.",
185,Boysen Exhaust Systems (Shenyang) Ltd.,Boysen
186,"Boysen USA, LLC",Boysen
187,Brake Parts Inc. - Mexico,
188,Brakes India Private Limited,
189,"Brembo (Nanjing) Brake Systems Co., Ltd.",Brembo
190,Brembo North America Inc.,Brembo
191,Brembo S.p.A.,Brembo
192,"Brose Fahrzeugteile SE & Co. KG, Coburg",
193,"Brother Precision Ind. Co., Ltd.",
194,Buehler Motor de Mexico S. de R.L. de. C.V.,Buehler
195,"Buehler Motor, Inc.",Buehler
196,"C.S. Piston (Thailand) Co., Ltd.",
197,"CDGM Tanaka Environmental Catalyst Co., Ltd.",
198,"CIE Automotive, S.A.",
199,"CNC Driveline Technology Co., Ltd. (Formerly Zhuhai China And Canton Clutch Co., Ltd.)",
200,COHLINE GmbH,
201,CWC Textron,
202,"Cangzhou Mopam Auto Parts Co., Ltd.",
203,Carcoustics International GmbH,Carcoustics
204,"Carcoustics USA, Inc.",Carcoustics
205,"Cardington Yutaka Technologies, Inc.",
206,"Cataler (Thailand) Co., Ltd.",Cataler
207,Cataler Corporation,Cataler
208,"Changan Mazda Engine Co., Ltd.",Suzuki
209,Changan Suzuki,Changan
210,"Changchun Beite Automotive Parts Co., Ltd.",
211,"Changchun Dare Automobile Parts Co., Ltd. (Formerly Changchun FAWSN Dare Automobile Parts Co., Ltd.)",
212,"Changchun FAWAY Automobile Components Co., Ltd. �]Formerly Changchun FAW Sihuan Automobile Co., Ltd.�^",
213,"Changchun Fawer-IHI Turbo Co., Ltd.",
214,"Changchun Hirotec Co., Ltd.",
215,"Changchun NOK-Freudenberg Oil seal Co., Ltd.",
216,"Changchun Yidong Clutch Co., Ltd.",
217,"Changhua Holding Group Co., Ltd. (Formerly Zhejiang Changhua Auto Parts Co., Ltd.)",
218,"Changsha Asteer WuuShiang Auto Parts Co., Ltd.",
219,"Changsha Cosma Automobile Co., Ltd.",
220,"Changsha Faurecia Emissions Control Technologies Co., Ltd.",
221,"Changsha Futaba Auto Parts Co., Ltd.",Futaba
222,"Changshu Jinhua Machinery Co., Ltd.",Changshu
223,"Changshu Juili Automotive Parts Co., Ltd.",Changshu
224,"Chengdu Changrui Automotive Components Co., Ltd.",
225,"Chengdu Chuanan Automotive Parts Co., Ltd.",
226,"Chengdu Engley Automobile Parts Co., Ltd.",
227,"Chengdu FAW Sihuan Hosing Automotive Components Co., Ltd.",
228,"Chengdu Faurecia Automotive System Co., Ltd.",
