Region,Maker,Model,Model year,Supplier
Japan,Honda,Step WGN e:HEV,2024,"Aisan Industry Co., Ltd."
Japan,Honda,Vezel e:HEV,2024,Denso Corporation
ASEAN?India?Korea,Honda,WR-V (India),2024,Aisan Industry India Private Limited (Formerly Aisan Fiem Automotives India Pvt. Ltd.)
Japan,Honda,ZR-V e:HEV,2024,"Aisan Industry Co., Ltd."
Europe,Jeep,Compass (Italy),2024,Marelli Europe S.p.A. (Formerly Magneti Marelli S.p.A.)
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra XUV700 (India),2024,Bosch Ltd.
ASEAN?India?Korea,Maruti Suzuki,Dzire (India),2024,TI Fluid Systems Plc. (Formerly TI Automotive Limited)
Japan,Mazda,Carol,2024,Mitsubishi Electric Corporation
Japan,Mazda,Carol Hybrid,2024,Mitsubishi Electric Corporation
Japan,Mazda,Flair Crossover,2024,Mitsubishi Electric Corporation
Americas,Mercedes-Benz,GLE 350 (USA),2024,Hyundam America Inc.
Europe,SEAT,CUPRA Ateca (Czech Republic),2024,Vitesco Technologies Romania S.R.L. - Ghimbav
Europe,SEAT,CUPRA Formentor (Spain),2024,"Robert Bosch, spol. s r.o."
Europe,SEAT,CUPRA Formentor (Spain),2024,Vitesco Technologies Romania S.R.L. - Ghimbav
Japan,Subaru,Crosstrek (e-BOXER),2024,"Aisan Industry Co., Ltd."
Japan,Subaru,Levorg,2024,"Aisan Industry Co., Ltd."
Japan,Subaru,Levorg Layback,2024,"Aisan Industry Co., Ltd."
Japan,Subaru,Pleo +,2024,"Aisan Industry Co., Ltd."
Japan,Suzuki,ACROSS PHV,2024,"Aisan Industry Co., Ltd."
Japan,Suzuki,Alto,2024,Mitsubishi Electric Corporation
Japan,Suzuki,Alto Hybrid,2024,Mitsubishi Electric Corporation
Japan,Suzuki,Hustler,2024,Mitsubishi Electric Corporation
Japan,Suzuki,Landy Hybrid,2024,"Aisan Industry Co., Ltd."
Japan,Suzuki,Wagon R SMILE,2024,Mitsubishi Electric Corporation
Japan,Suzuki,XBEE,2024,"Aisan Industry Co., Ltd."
Japan,Suzuki,XBEE,2024,Bosch (Bosch Corporation)
Japan,Toyota,Aqua,2024,"Aisan Industry Co., Ltd."
Americas,Toyota,Camry (USA),2024,"Denso International America, Inc."
Japan,Toyota,Corolla Sport,2024,"Aisan Industry Co., Ltd."
Japan,Toyota,Corolla Sport Hybrid,2024,"Aisan Industry Co., Ltd."
Japan,Toyota,Corolla Touring Hybrid,2024,"Aisan Industry Co., Ltd."
